Hospital Name,State,Measure Name,Number of Discharges,Footnote,Excess Readmission Ratio,Predicted Readmission Rate,Expected Readmission Rate,Number of Readmissions,Start Date,End Date
MARSHFIELD MEDICAL CENTER - RICE LAKE,WI,READM_30_HF_HRRP,134,,0.8905,18.0513,20.2704,17,07/01/2014,06/30/2017
MARSHFIELD MEDICAL CENTER - RICE LAKE,WI,READM_30_HIP_KNEE_HRRP,Not Available,5 - Results are not available for this reporting period.,0.842,3.2517,3.8620,Not Available,07/01/2014,06/30/2017
MARSHFIELD MEDICAL CENTER - RICE LAKE,WI,READM_30_PN_HRRP,144,,0.9732,13.5856,13.9590,18,07/01/2014,06/30/2017
NORTON COMMUNITY HOSPITAL,VA,READM_30_AMI_HRRP,Not Available,1 - The number of cases/patients is too few to report.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
NORTON COMMUNITY HOSPITAL,VA,READM_30_CABG_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
NORTON COMMUNITY HOSPITAL,VA,READM_30_COPD_HRRP,181,,0.9466,21.1481,22.3411,34,07/01/2014,06/30/2017
NORTON COMMUNITY HOSPITAL,VA,READM_30_HF_HRRP,173,,1.1412,30.4473,26.6811,62,07/01/2014,06/30/2017
NORTON COMMUNITY HOSPITAL,VA,READM_30_HIP_KNEE_HRRP,Not Available,1 - The number of cases/patients is too few to report.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
NORTON COMMUNITY HOSPITAL,VA,READM_30_PN_HRRP,224,,1.014,20.1470,19.8682,46,07/01/2014,06/30/2017
ST LUKE'S HOSPITAL AT THE VINTAGE,TX,READM_30_AMI_HRRP,Not Available,5 - Results are not available for this reporting period.,1.0093,16.4424,16.2914,Not Available,07/01/2014,06/30/2017
ST LUKE'S HOSPITAL AT THE VINTAGE,TX,READM_30_CABG_HRRP,Not Available,1 - The number of cases/patients is too few to report.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
ST LUKE'S HOSPITAL AT THE VINTAGE,TX,READM_30_COPD_HRRP,72,,1.0321,18.9775,18.3866,16,07/01/2014,06/30/2017
ST LUKE'S HOSPITAL AT THE VINTAGE,TX,READM_30_HF_HRRP,120,,1.0352,22.2968,21.5386,29,07/01/2014,06/30/2017
ST LUKE'S HOSPITAL AT THE VINTAGE,TX,READM_30_HIP_KNEE_HRRP,Not Available,1 - The number of cases/patients is too few to report.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
ST LUKE'S HOSPITAL AT THE VINTAGE,TX,READM_30_PN_HRRP,136,,0.9643,15.5681,16.1445,19,07/01/2014,06/30/2017
WESTERN ARIZONA REGIONAL MEDICAL CENTER,AZ,READM_30_AMI_HRRP,203,,0.9436,14.0511,14.8909,25,07/01/2014,06/30/2017
WESTERN ARIZONA REGIONAL MEDICAL CENTER,AZ,READM_30_CABG_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
WESTERN ARIZONA REGIONAL MEDICAL CENTER,AZ,READM_30_COPD_HRRP,375,,1.0051,18.8325,18.7378,71,07/01/2014,06/30/2017
WESTERN ARIZONA REGIONAL MEDICAL CENTER,AZ,READM_30_HF_HRRP,366,,1.1336,23.9884,21.1618,96,07/01/2014,06/30/2017
WESTERN ARIZONA REGIONAL MEDICAL CENTER,AZ,READM_30_HIP_KNEE_HRRP,Not Available,5 - Results are not available for this reporting period.,0.9533,4.4330,4.6499,Not Available,07/01/2014,06/30/2017
WESTERN ARIZONA REGIONAL MEDICAL CENTER,AZ,READM_30_PN_HRRP,261,,0.9241,16.3897,17.7353,38,07/01/2014,06/30/2017
ANSON GENERAL HOSPITAL,TX,READM_30_AMI_HRRP,Not Available,1 - The number of cases/patients is too few to report.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
ANSON GENERAL HOSPITAL,TX,READM_30_CABG_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
ANSON GENERAL HOSPITAL,TX,READM_30_COPD_HRRP,98,,1.0117,17.5063,17.3047,18,07/01/2014,06/30/2017
ANSON GENERAL HOSPITAL,TX,READM_30_HF_HRRP,Not Available,1 - The number of cases/patients is too few to report.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
ANSON GENERAL HOSPITAL,TX,READM_30_HIP_KNEE_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
ANSON GENERAL HOSPITAL,TX,READM_30_PN_HRRP,Not Available,1 - The number of cases/patients is too few to report.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
"COOK CHILDRENS NORTHEAST HOSPITAL, LLC",TX,READM_30_AMI_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
"COOK CHILDRENS NORTHEAST HOSPITAL, LLC",TX,READM_30_CABG_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
"COOK CHILDRENS NORTHEAST HOSPITAL, LLC",TX,READM_30_COPD_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
"COOK CHILDRENS NORTHEAST HOSPITAL, LLC",TX,READM_30_HF_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
"COOK CHILDRENS NORTHEAST HOSPITAL, LLC",TX,READM_30_HIP_KNEE_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
"COOK CHILDRENS NORTHEAST HOSPITAL, LLC",TX,READM_30_PN_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
OVIEDO MEDICAL CENTER,FL,READM_30_AMI_HRRP,Not Available,1 - The number of cases/patients is too few to report.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
OVIEDO MEDICAL CENTER,FL,READM_30_CABG_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
OVIEDO MEDICAL CENTER,FL,READM_30_COPD_HRRP,Not Available,1 - The number of cases/patients is too few to report.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
OVIEDO MEDICAL CENTER,FL,READM_30_HF_HRRP,Not Available,1 - The number of cases/patients is too few to report.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
OVIEDO MEDICAL CENTER,FL,READM_30_HIP_KNEE_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
OVIEDO MEDICAL CENTER,FL,READM_30_PN_HRRP,Not Available,1 - The number of cases/patients is too few to report.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
ADVENTIST LA GRANGE MEMORIAL HOSPITAL,IL,READM_30_AMI_HRRP,135,,1.0286,15.7364,15.2982,23,07/01/2014,06/30/2017
ADVENTIST LA GRANGE MEMORIAL HOSPITAL,IL,READM_30_CABG_HRRP,Not Available,1 - The number of cases/patients is too few to report.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
ADVENTIST LA GRANGE MEMORIAL HOSPITAL,IL,READM_30_COPD_HRRP,418,,0.9101,18.2098,20.0092,69,07/01/2014,06/30/2017
ADVENTIST LA GRANGE MEMORIAL HOSPITAL,IL,READM_30_HF_HRRP,601,,0.92,19.8485,21.5747,114,07/01/2014,06/30/2017
ADVENTIST LA GRANGE MEMORIAL HOSPITAL,IL,READM_30_HIP_KNEE_HRRP,326,,0.9735,4.7729,4.9030,15,07/01/2014,06/30/2017
ADVENTIST LA GRANGE MEMORIAL HOSPITAL,IL,READM_30_PN_HRRP,763,,0.986,17.0187,17.2599,129,07/01/2014,06/30/2017
HAYWOOD REGIONAL MEDICAL CENTER,NC,READM_30_AMI_HRRP,Not Available,5 - Results are not available for this reporting period.,0.9547,16.1415,16.9066,Not Available,07/01/2014,06/30/2017
HAYWOOD REGIONAL MEDICAL CENTER,NC,READM_30_CABG_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
HAYWOOD REGIONAL MEDICAL CENTER,NC,READM_30_COPD_HRRP,339,,0.9988,19.2015,19.2253,65,07/01/2014,06/30/2017
HAYWOOD REGIONAL MEDICAL CENTER,NC,READM_30_HIP_KNEE_HRRP,Not Available,5 - Results are not available for this reporting period.,1.0242,4.2318,4.1318,Not Available,07/01/2014,06/30/2017
HAYWOOD REGIONAL MEDICAL CENTER,NC,READM_30_PN_HRRP,474,,0.9557,14.6941,15.3756,67,07/01/2014,06/30/2017
TEXAS HEALTH ARLINGTON MEMORIAL HOSPITAL,TX,READM_30_AMI_HRRP,Not Available,5 - Results are not available for this reporting period.,0.9719,18.8172,19.3607,Not Available,07/01/2014,06/30/2017
TEXAS HEALTH ARLINGTON MEMORIAL HOSPITAL,TX,READM_30_CABG_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
TEXAS HEALTH ARLINGTON MEMORIAL HOSPITAL,TX,READM_30_COPD_HRRP,369,,1.094,20.9042,19.1082,84,07/01/2014,06/30/2017
TEXAS HEALTH ARLINGTON MEMORIAL HOSPITAL,TX,READM_30_HF_HRRP,369,,1.0916,23.6485,21.6646,93,07/01/2014,06/30/2017
TEXAS HEALTH ARLINGTON MEMORIAL HOSPITAL,TX,READM_30_HIP_KNEE_HRRP,Not Available,5 - Results are not available for this reporting period.,1.1097,6.5392,5.8930,Not Available,07/01/2014,06/30/2017
TEXAS HEALTH ARLINGTON MEMORIAL HOSPITAL,TX,READM_30_PN_HRRP,523,,1.016,16.2630,16.0071,86,07/01/2014,06/30/2017
WESTERN MISSOURI MEDICAL CENTER,MO,READM_30_AMI_HRRP,Not Available,1 - The number of cases/patients is too few to report.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
WESTERN MISSOURI MEDICAL CENTER,MO,READM_30_CABG_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
WESTERN MISSOURI MEDICAL CENTER,MO,READM_30_COPD_HRRP,183,,0.9676,17.7245,18.3184,30,07/01/2014,06/30/2017
WESTERN MISSOURI MEDICAL CENTER,MO,READM_30_HF_HRRP,150,,0.9905,19.0610,19.2432,28,07/01/2014,06/30/2017
WESTERN MISSOURI MEDICAL CENTER,MO,READM_30_HIP_KNEE_HRRP,Not Available,5 - Results are not available for this reporting period.,1.024,3.7426,3.6549,Not Available,07/01/2014,06/30/2017
WESTERN MISSOURI MEDICAL CENTER,MO,READM_30_PN_HRRP,350,,0.9802,14.3315,14.6209,49,07/01/2014,06/30/2017
SOUTH POINTE HOSPITAL,OH,READM_30_AMI_HRRP,Not Available,5 - Results are not available for this reporting period.,0.9891,22.3757,22.6214,Not Available,07/01/2014,06/30/2017
SOUTH POINTE HOSPITAL,OH,READM_30_CABG_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
SOUTH POINTE HOSPITAL,OH,READM_30_COPD_HRRP,351,,0.8918,18.7234,20.9960,57,07/01/2014,06/30/2017
SOUTH POINTE HOSPITAL,OH,READM_30_HF_HRRP,295,,1.0412,23.8387,22.8963,73,07/01/2014,06/30/2017
SOUTH POINTE HOSPITAL,OH,READM_30_HIP_KNEE_HRRP,Not Available,5 - Results are not available for this reporting period.,0.9935,4.0103,4.0363,Not Available,07/01/2014,06/30/2017
SOUTH POINTE HOSPITAL,OH,READM_30_PN_HRRP,275,,1.0713,21.3118,19.8943,63,07/01/2014,06/30/2017
KAISER FOUNDATION HOSPITAL,HI,READM_30_AMI_HRRP,Not Available,1 - The number of cases/patients is too few to report.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
KAISER FOUNDATION HOSPITAL,HI,READM_30_CABG_HRRP,Not Available,1 - The number of cases/patients is too few to report.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
KAISER FOUNDATION HOSPITAL,HI,READM_30_COPD_HRRP,Not Available,1 - The number of cases/patients is too few to report.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
KAISER FOUNDATION HOSPITAL,HI,READM_30_HF_HRRP,Not Available,5 - Results are not available for this reporting period.,0.9848,23.7416,24.1075,Not Available,07/01/2014,06/30/2017
KAISER FOUNDATION HOSPITAL,HI,READM_30_HIP_KNEE_HRRP,Not Available,5 - Results are not available for this reporting period.,0.9429,3.5100,3.7224,Not Available,07/01/2014,06/30/2017
KAISER FOUNDATION HOSPITAL,HI,READM_30_PN_HRRP,42,,1.0648,17.0733,16.0337,11,07/01/2014,06/30/2017
CLEVELAND EMERGENCY HOSPITAL,TX,READM_30_AMI_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
CLEVELAND EMERGENCY HOSPITAL,TX,READM_30_CABG_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
SAINT BARNABAS MEDICAL CENTER,NJ,READM_30_AMI_HRRP,327,,1.0816,18.3484,16.9640,65,07/01/2014,06/30/2017
CLEVELAND EMERGENCY HOSPITAL,TX,READM_30_COPD_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
CLEVELAND EMERGENCY HOSPITAL,TX,READM_30_HF_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
CLEVELAND EMERGENCY HOSPITAL,TX,READM_30_HIP_KNEE_HRRP,Not Available,1 - The number of cases/patients is too few to report.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
CLEVELAND EMERGENCY HOSPITAL,TX,READM_30_PN_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
HSHS ST ELIZABETH'S HOSPITAL,IL,READM_30_AMI_HRRP,251,,1.0482,15.5803,14.8639,42,07/01/2014,06/30/2017
HSHS ST ELIZABETH'S HOSPITAL,IL,READM_30_CABG_HRRP,101,,0.9498,13.1940,13.8913,12,07/01/2014,06/30/2017
HSHS ST ELIZABETH'S HOSPITAL,IL,READM_30_COPD_HRRP,207,,0.9216,19.4441,21.0985,34,07/01/2014,06/30/2017
HSHS ST ELIZABETH'S HOSPITAL,IL,READM_30_HF_HRRP,493,,1.0083,22.8107,22.6227,113,07/01/2014,06/30/2017
HSHS ST ELIZABETH'S HOSPITAL,IL,READM_30_HIP_KNEE_HRRP,Not Available,5 - Results are not available for this reporting period.,0.9952,3.8726,3.8913,Not Available,07/01/2014,06/30/2017
HSHS ST ELIZABETH'S HOSPITAL,IL,READM_30_PN_HRRP,449,,1.0039,17.0962,17.0292,77,07/01/2014,06/30/2017
MERCY HOSPITAL SPRINGFIELD,MO,READM_30_AMI_HRRP,734,,0.9116,13.1572,14.4329,91,07/01/2014,06/30/2017
MERCY HOSPITAL SPRINGFIELD,MO,READM_30_CABG_HRRP,267,,1.0178,13.6865,13.4472,37,07/01/2014,06/30/2017
MERCY HOSPITAL SPRINGFIELD,MO,READM_30_COPD_HRRP,764,,0.9284,18.5357,19.9643,136,07/01/2014,06/30/2017
MERCY HOSPITAL SPRINGFIELD,MO,READM_30_HF_HRRP,1202,,0.8792,18.6433,21.2040,216,07/01/2014,06/30/2017
MERCY HOSPITAL SPRINGFIELD,MO,READM_30_HIP_KNEE_HRRP,1489,,0.9624,4.1499,4.3122,61,07/01/2014,06/30/2017
MERCY HOSPITAL SPRINGFIELD,MO,READM_30_PN_HRRP,1354,,0.8822,14.8028,16.7788,193,07/01/2014,06/30/2017
MEMORIAL HOSPITAL,TX,READM_30_AMI_HRRP,Not Available,1 - The number of cases/patients is too few to report.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
MEMORIAL HOSPITAL,TX,READM_30_CABG_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
MEMORIAL HOSPITAL,TX,READM_30_COPD_HRRP,Not Available,1 - The number of cases/patients is too few to report.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
MEMORIAL HOSPITAL,TX,READM_30_HF_HRRP,Not Available,5 - Results are not available for this reporting period.,0.9981,18.5260,18.5603,Not Available,07/01/2014,06/30/2017
MEMORIAL HOSPITAL,TX,READM_30_HIP_KNEE_HRRP,Not Available,1 - The number of cases/patients is too few to report.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
MEMORIAL HOSPITAL,TX,READM_30_PN_HRRP,Not Available,5 - Results are not available for this reporting period.,0.9823,15.1203,15.3926,Not Available,07/01/2014,06/30/2017
DALLAS MEDICAL CENTER,TX,READM_30_AMI_HRRP,Not Available,5 - Results are not available for this reporting period.,0.9891,17.4132,17.6056,Not Available,07/01/2014,06/30/2017
DALLAS MEDICAL CENTER,TX,READM_30_CABG_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
DALLAS MEDICAL CENTER,TX,READM_30_COPD_HRRP,Not Available,1 - The number of cases/patients is too few to report.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
DALLAS MEDICAL CENTER,TX,READM_30_HF_HRRP,89,,1.0142,22.5633,22.2481,21,07/01/2014,06/30/2017
DALLAS MEDICAL CENTER,TX,READM_30_HIP_KNEE_HRRP,Not Available,5 - Results are not available for this reporting period.,1.0911,6.3595,5.8285,Not Available,07/01/2014,06/30/2017
DALLAS MEDICAL CENTER,TX,READM_30_PN_HRRP,177,,0.9467,17.7293,18.7285,28,07/01/2014,06/30/2017
MOUNTAIN WEST MEDICAL CENTER,UT,READM_30_AMI_HRRP,Not Available,1 - The number of cases/patients is too few to report.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
MOUNTAIN WEST MEDICAL CENTER,UT,READM_30_CABG_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
MOUNTAIN WEST MEDICAL CENTER,UT,READM_30_COPD_HRRP,Not Available,5 - Results are not available for this reporting period.,0.961,17.3082,18.0098,Not Available,07/01/2014,06/30/2017
MOUNTAIN WEST MEDICAL CENTER,UT,READM_30_HF_HRRP,Not Available,5 - Results are not available for this reporting period.,0.9929,18.9356,19.0705,Not Available,07/01/2014,06/30/2017
MOUNTAIN WEST MEDICAL CENTER,UT,READM_30_HIP_KNEE_HRRP,Not Available,5 - Results are not available for this reporting period.,0.9677,4.2260,4.3671,Not Available,07/01/2014,06/30/2017
MOUNTAIN WEST MEDICAL CENTER,UT,READM_30_PN_HRRP,179,,0.9056,13.2382,14.6177,18,07/01/2014,06/30/2017
CEDAR CITY HOSPITAL,UT,READM_30_AMI_HRRP,Not Available,1 - The number of cases/patients is too few to report.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
CEDAR CITY HOSPITAL,UT,READM_30_CABG_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
CEDAR CITY HOSPITAL,UT,READM_30_COPD_HRRP,Not Available,5 - Results are not available for this reporting period.,1.0156,16.8288,16.5706,Not Available,07/01/2014,06/30/2017
CEDAR CITY HOSPITAL,UT,READM_30_HF_HRRP,Not Available,5 - Results are not available for this reporting period.,0.9333,18.4347,19.7532,Not Available,07/01/2014,06/30/2017
CEDAR CITY HOSPITAL,UT,READM_30_HIP_KNEE_HRRP,Not Available,5 - Results are not available for this reporting period.,0.9059,3.6785,4.0605,Not Available,07/01/2014,06/30/2017
CEDAR CITY HOSPITAL,UT,READM_30_PN_HRRP,211,,0.8666,13.4241,15.4905,20,07/01/2014,06/30/2017
MONROE HOSPITAL,IN,READM_30_AMI_HRRP,Not Available,1 - The number of cases/patients is too few to report.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
MONROE HOSPITAL,IN,READM_30_CABG_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
MONROE HOSPITAL,IN,READM_30_COPD_HRRP,Not Available,1 - The number of cases/patients is too few to report.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
MONROE HOSPITAL,IN,READM_30_HF_HRRP,Not Available,5 - Results are not available for this reporting period.,1.0071,18.6170,18.4858,Not Available,07/01/2014,06/30/2017
MONROE HOSPITAL,IN,READM_30_HIP_KNEE_HRRP,Not Available,5 - Results are not available for this reporting period.,0.9204,3.7044,4.0247,Not Available,07/01/2014,06/30/2017
MONROE HOSPITAL,IN,READM_30_PN_HRRP,109,,0.9961,14.8885,14.9470,16,07/01/2014,06/30/2017
TEXAS HEALTH PRESBYTERIAN HOSPITAL ALLEN,TX,READM_30_AMI_HRRP,Not Available,5 - Results are not available for this reporting period.,0.9833,13.3819,13.6095,Not Available,07/01/2014,06/30/2017
TEXAS HEALTH PRESBYTERIAN HOSPITAL ALLEN,TX,READM_30_CABG_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
TEXAS HEALTH PRESBYTERIAN HOSPITAL ALLEN,TX,READM_30_COPD_HRRP,72,,1.0493,18.6250,17.7498,17,07/01/2014,06/30/2017
TEXAS HEALTH PRESBYTERIAN HOSPITAL ALLEN,TX,READM_30_HF_HRRP,120,,0.9498,17.6254,18.5573,18,07/01/2014,06/30/2017
TEXAS HEALTH PRESBYTERIAN HOSPITAL ALLEN,TX,READM_30_HIP_KNEE_HRRP,Not Available,5 - Results are not available for this reporting period.,1.0012,4.3679,4.3626,Not Available,07/01/2014,06/30/2017
TEXAS HEALTH PRESBYTERIAN HOSPITAL ALLEN,TX,READM_30_PN_HRRP,148,,1.0303,13.7092,13.3061,22,07/01/2014,06/30/2017
BELTON REGIONAL MEDICAL CENTER,MO,READM_30_AMI_HRRP,Not Available,1 - The number of cases/patients is too few to report.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
BELTON REGIONAL MEDICAL CENTER,MO,READM_30_CABG_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
BELTON REGIONAL MEDICAL CENTER,MO,READM_30_COPD_HRRP,125,,1.0411,19.9376,19.1510,28,07/01/2014,06/30/2017
BELTON REGIONAL MEDICAL CENTER,MO,READM_30_HF_HRRP,99,,1.0377,21.8319,21.0378,24,07/01/2014,06/30/2017
BELTON REGIONAL MEDICAL CENTER,MO,READM_30_HIP_KNEE_HRRP,205,,1.2258,5.6900,4.6419,16,07/01/2014,06/30/2017
SAINT BARNABAS MEDICAL CENTER,NJ,READM_30_CABG_HRRP,160,,0.9185,12.6257,13.7460,18,07/01/2014,06/30/2017
SAINT BARNABAS MEDICAL CENTER,NJ,READM_30_COPD_HRRP,526,,1.0502,20.9548,19.9538,114,07/01/2014,06/30/2017
SAINT BARNABAS MEDICAL CENTER,NJ,READM_30_HF_HRRP,1136,,0.8816,18.8345,21.3629,206,07/01/2014,06/30/2017
SAINT BARNABAS MEDICAL CENTER,NJ,READM_30_HIP_KNEE_HRRP,378,,1.363,5.9557,4.3694,29,07/01/2014,06/30/2017
SAINT BARNABAS MEDICAL CENTER,NJ,READM_30_PN_HRRP,953,,1.0581,16.9581,16.0271,165,07/01/2014,06/30/2017
REGIONAL MEDICAL CENTER BAYONET POINT,FL,READM_30_AMI_HRRP,329,,1.0134,16.4644,16.2468,55,07/01/2014,06/30/2017
REGIONAL MEDICAL CENTER BAYONET POINT,FL,READM_30_CABG_HRRP,Not Available,5 - Results are not available for this reporting period.,1.0393,14.2869,13.7468,Not Available,07/01/2014,06/30/2017
REGIONAL MEDICAL CENTER BAYONET POINT,FL,READM_30_COPD_HRRP,576,,1.1217,20.8829,18.6166,129,07/01/2014,06/30/2017
REGIONAL MEDICAL CENTER BAYONET POINT,FL,READM_30_HF_HRRP,568,,1.1087,23.8138,21.4786,142,07/01/2014,06/30/2017
REGIONAL MEDICAL CENTER BAYONET POINT,FL,READM_30_HIP_KNEE_HRRP,279,,0.9095,4.6550,5.1184,11,07/01/2014,06/30/2017
REGIONAL MEDICAL CENTER BAYONET POINT,FL,READM_30_PN_HRRP,306,,1.0386,17.8752,17.2115,57,07/01/2014,06/30/2017
TECHE REGIONAL MEDICAL CENTER,LA,READM_30_AMI_HRRP,Not Available,1 - The number of cases/patients is too few to report.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
TECHE REGIONAL MEDICAL CENTER,LA,READM_30_CABG_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
TECHE REGIONAL MEDICAL CENTER,LA,READM_30_COPD_HRRP,115,,1.0663,20.1325,18.8812,28,07/01/2014,06/30/2017
TECHE REGIONAL MEDICAL CENTER,LA,READM_30_HF_HRRP,137,,1.0877,23.0337,21.1774,37,07/01/2014,06/30/2017
TECHE REGIONAL MEDICAL CENTER,LA,READM_30_HIP_KNEE_HRRP,Not Available,5 - Results are not available for this reporting period.,1.0709,5.2058,4.8610,Not Available,07/01/2014,06/30/2017
TECHE REGIONAL MEDICAL CENTER,LA,READM_30_PN_HRRP,139,,1.0341,17.9545,17.3619,27,07/01/2014,06/30/2017
ST PETERSBURG GENERAL HOSPITAL,FL,READM_30_AMI_HRRP,Not Available,1 - The number of cases/patients is too few to report.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
ST PETERSBURG GENERAL HOSPITAL,FL,READM_30_CABG_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
ST PETERSBURG GENERAL HOSPITAL,FL,READM_30_COPD_HRRP,186,,1.1464,21.7692,18.9897,51,07/01/2014,06/30/2017
ST PETERSBURG GENERAL HOSPITAL,FL,READM_30_HF_HRRP,108,,1.1488,24.8765,21.6548,36,07/01/2014,06/30/2017
ST PETERSBURG GENERAL HOSPITAL,FL,READM_30_HIP_KNEE_HRRP,Not Available,5 - Results are not available for this reporting period.,1.0884,5.5305,5.0812,Not Available,07/01/2014,06/30/2017
ST PETERSBURG GENERAL HOSPITAL,FL,READM_30_PN_HRRP,219,,1.1575,19.6741,16.9967,52,07/01/2014,06/30/2017
TERRE HAUTE REGIONAL HOSPITAL,IN,READM_30_AMI_HRRP,264,,1.0113,16.0209,15.8421,43,07/01/2014,06/30/2017
TERRE HAUTE REGIONAL HOSPITAL,IN,READM_30_CABG_HRRP,54,,1.1353,17.7669,15.6496,13,07/01/2014,06/30/2017
TERRE HAUTE REGIONAL HOSPITAL,IN,READM_30_COPD_HRRP,447,,1.1213,21.9713,19.5939,107,07/01/2014,06/30/2017
TERRE HAUTE REGIONAL HOSPITAL,IN,READM_30_HF_HRRP,385,,1.068,24.0646,22.5326,97,07/01/2014,06/30/2017
TERRE HAUTE REGIONAL HOSPITAL,IN,READM_30_HIP_KNEE_HRRP,Not Available,5 - Results are not available for this reporting period.,1.1012,5.6499,5.1306,Not Available,07/01/2014,06/30/2017
